Move Name,Type,Category,Power,Accuracy,PP,Effect,Probability (%)
"10,000,000 Volt Thunderbolt",Electric,Special,195.0,,1.0,Pikachu-exclusive Z-Move. High critical hit ratio.,
Absorb,Grass,Special,20.0,100,25.0,User recovers half the HP inflicted on opponent.,
Accelerock,Rock,Physical,40.0,100,20.0,User attacks first.,
Acid,Poison,Special,40.0,100,30.0,May lower opponent's Special Defense.,10.0
Acid Armor,Poison,Status,,,20.0,Sharply raises user's Defense.,
Acid Downpour,Poison,,,,1.0,Poison type Z-Move.,
Acid Spray,Poison,Special,40.0,100,20.0,Sharply lowers opponent's Special Defense.,100.0
Acrobatics,Flying,Physical,55.0,100,15.0,Stronger when the user does not have a held item.,
Acupressure,Normal,Status,,,30.0,Sharply raises a random stat.,
Aerial Ace,Flying,Physical,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Aeroblast,Flying,Special,100.0,95,5.0,High critical hit ratio.,
After You,Normal,Status,,,15.0,Gives target priority in the next turn.,
Agility,Psychic,Status,,,30.0,Sharply raises user's Speed.,
Air Cutter,Flying,Special,60.0,95,25.0,High critical hit ratio.,
Air Slash,Flying,Special,75.0,95,15.0,May cause flinching.,30.0
All-Out Pummeling,Fighting,,,,1.0,Fighting type Z-Move.,
Alluring Voice,Fairy,Special,80.0,100,10.0,,
Ally Switch,Psychic,Status,,,15.0,User switches with opposite teammate.,
Amnesia,Psychic,Status,,,20.0,Sharply raises user's Special Defense.,
Anchor Shot,Steel,Physical,80.0,100,20.0,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
Ancient Power,Rock,Special,60.0,100,5.0,May raise all user's stats at once.,10.0
Apple Acid,Grass,Special,80.0,100,10.0,Lowers target's Special Defense.,100.0
Aqua Cutter,Water,Physical,70.0,100,20.0,High critical hit ratio.,
Aqua Jet,Water,Physical,40.0,100,20.0,User attacks first.,
Aqua Ring,Water,Status,,,20.0,Restores a little HP each turn.,
Aqua Step,Water,Physical,80.0,100,10.0,Raises user's Speed.,100.0
Aqua Tail,Water,Physical,90.0,90,10.0,,
Arm Thrust,Fighting,Physical,15.0,100,20.0,Hits 2-5 times in one turn.,
Armor Cannon,Fire,Special,120.0,100,5.0,Lowers user's Defense and Special Defense.,
Aromatherapy,Grass,Status,,,5.0,Cures all status problems in your party.,
Aromatic Mist,Fairy,Status,,,20.0,Raises Special Defense of an ally.,
Assist,Normal,Status,,,20.0,User performs a move known by its allies at random.,
Assurance,Dark,Physical,60.0,100,10.0,Power doubles if opponent already took damage in the same turn.,
Astonish,Ghost,Physical,30.0,100,15.0,May cause flinching.,30.0
Astral Barrage,Ghost,Special,120.0,100,5.0,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
Attack Order,Bug,Physical,90.0,100,15.0,High critical hit ratio.,
Attract,Normal,Status,,100,15.0,"If opponent is the opposite gender, it's less likely to attack.",
Aura Sphere,Fighting,Special,80.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Aura Wheel,Electric,Physical,110.0,100,10.0,Changes type based on Morpeko's Mode.,100.0
Aurora Beam,Ice,Special,65.0,100,20.0,May lower opponent's Attack.,10.0
Aurora Veil,Ice,Status,,,20.0,Halves damage from Physical and Special attacks for five turns.,
Autotomize,Steel,Status,,,15.0,Reduces weight and sharply raises Speed.,
Avalanche,Ice,Physical,60.0,100,10.0,Power doubles if user took damage first.,
Axe Kick,Fighting,Physical,120.0,90,10.0,"May confuse opponent. If it misses, the user loses HP.",
Baby-Doll Eyes,Fairy,Status,,100,30.0,Always goes first. Lowers the target's attack.,
Baddy Bad,Dark,Special,90.0,100,15.0,Reduces damage from Physical attacks.,
Baneful Bunker,Poison,Status,,,10.0,Protects the user and poisons opponent on contact.,
Barb Barrage,Poison,Physical,60.0,100,10.0,May poison opponent; inflicts double damage if the target is already poisoned.,
Barrage,Normal,Physical,15.0,85,20.0,Hits 2-5 times in one turn.,
Barrier,Psychic,Status,,,20.0,Sharply raises user's Defense.,
Baton Pass,Normal,Status,,,40.0,User switches out and gives stat changes to the incoming Pokémon.,
Beak Blast,Flying,Physical,100.0,100,15.0,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.",
Beat Up,Dark,Physical,,100,10.0,Each Pokémon in user's party attacks.,
Behemoth Bash,Steel,Physical,100.0,100,5.0,Damage doubles if target is Dynamaxed.,
Behemoth Blade,Steel,Physical,100.0,100,5.0,Damage doubles if target is Dynamaxed.,
Belch,Poison,Special,120.0,90,10.0,User must have consumed a Berry.,
Belly Drum,Normal,Status,,,10.0,"User loses 50% of its max HP, but Attack raises to maximum.",
Bestow,Normal,Status,,,15.0,Gives the user's held item to the target.,
Bide,Normal,Physical,,,10.0,User takes damage for two turns then strikes back double.,
Bind,Normal,Physical,15.0,85,20.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Bite,Dark,Physical,60.0,100,25.0,May cause flinching.,30.0
Bitter Blade,Fire,Physical,90.0,100,10.0,User recovers half the HP inflicted on opponent.,
Bitter Malice,Ghost,Special,75.0,100,10.0,Lowers opponent's Attack.,
Black Hole Eclipse,Dark,,,,1.0,Dark type Z-Move.,
Blast Burn,Fire,Special,150.0,90,5.0,User must recharge next turn.,
Blaze Kick,Fire,Physical,85.0,90,10.0,High critical hit ratio. May burn opponent.,10.0
Blazing Torque,Fire,Physical,80.0,100,10.0,May burn the opponent.,
Bleakwind Storm,Flying,Special,100.0,80,10.0,May lower opponent's Speed.,
Blizzard,Ice,Special,110.0,70,5.0,May freeze opponent.,10.0
Block,Normal,Status,,,5.0,Opponent cannot flee or switch.,
Blood Moon,Normal,Special,140.0,100,5.0,Cannot be used twice in a row.,
Bloom Doom,Grass,,,,1.0,Grass type Z-Move.,
Blue Flare,Fire,Special,130.0,85,5.0,May burn opponent.,20.0
Body Press,Fighting,Physical,80.0,100,10.0,"The higher the user's Defense, the stronger the attack.",
Body Slam,Normal,Physical,85.0,100,15.0,May paralyze opponent.,30.0
Bolt Beak,Electric,Physical,85.0,100,10.0,"If the user attacks before the target, the power of this move is doubled.",
Bolt Strike,Electric,Physical,130.0,85,5.0,May paralyze opponent.,20.0
Bone Club,Ground,Physical,65.0,85,20.0,May cause flinching.,10.0
Bone Rush,Ground,Physical,25.0,90,10.0,Hits 2-5 times in one turn.,
Bonemerang,Ground,Physical,50.0,90,10.0,Hits twice in one turn.,
Boomburst,Normal,Special,140.0,100,10.0,Hits all adjacent Pokémon.,
Bounce,Flying,Physical,85.0,85,5.0,"Springs up on first turn, attacks on second. May paralyze opponent.",30.0
Bouncy Bubble,Water,Special,90.0,100,15.0,User recovers half the HP inflicted on opponent.,
Branch Poke,Grass,Physical,40.0,100,40.0,,
Brave Bird,Flying,Physical,120.0,100,15.0,User receives recoil damage.,
Breaking Swipe,Dragon,Physical,60.0,100,15.0,Hits multiple opponents and lowers their attack.,100.0
Breakneck Blitz,Normal,,,,1.0,Normal type Z-Move.,
Brick Break,Fighting,Physical,75.0,100,15.0,Breaks through Reflect and Light Screen barriers.,
Brine,Water,Special,65.0,100,10.0,Power doubles if opponent's HP is less than 50%.,
Brutal Swing,Dark,Physical,60.0,100,20.0,The user swings its body around violently to inflict damage on everything in its vicinity.,
Bubble,Water,Special,40.0,100,30.0,May lower opponent's Speed.,10.0
Bubble Beam,Water,Special,65.0,100,20.0,May lower opponent's Speed.,10.0
Bug Bite,Bug,Physical,60.0,100,20.0,Receives the effect from the opponent's held berry.,
Bug Buzz,Bug,Special,90.0,100,10.0,May lower opponent's Special Defense.,10.0
Bulk Up,Fighting,Status,,,20.0,Raises user's Attack and Defense.,
Bulldoze,Ground,Physical,60.0,100,20.0,Lowers opponent's Speed.,100.0
Bullet Punch,Steel,Physical,40.0,100,30.0,User attacks first.,
Bullet Seed,Grass,Physical,25.0,100,30.0,Hits 2-5 times in one turn.,
Burn Up,Fire,Special,130.0,100,5.0,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",
Burning Bulwark,Fire,Status,,∞,10.0,,
Burning Jealousy,Fire,Special,70.0,100,5.0,"Hits all opponents, and burns any that have had their stats boosted.",
Buzzy Buzz,Electric,Special,90.0,100,15.0,Paralyzes the opponent.,100.0
Calm Mind,Psychic,Status,,,20.0,Raises user's Special Attack and Special Defense.,
Camouflage,Normal,Status,,,20.0,Changes user's type according to the location.,
Captivate,Normal,Status,,100,20.0,Sharply lowers opponent's Special Attack if opposite gender.,
Catastropika,Electric,Physical,210.0,,1.0,Pikachu-exclusive Z-Move.,
Ceaseless Edge,Dark,Physical,65.0,90,15.0,Sets up Spikes.,
Celebrate,Normal,Status,,,40.0,The Pokémon congratulates you on your special day. No battle effect.,
Charge,Electric,Status,,,20.0,Raises user's Special Defense and next Electric move's power increases.,
Charge Beam,Electric,Special,50.0,90,10.0,May raise user's Special Attack.,70.0
Charm,Fairy,Status,,100,20.0,Sharply lowers opponent's Attack.,
Chatter,Flying,Special,65.0,100,20.0,Confuses opponent.,100.0
Chilling Water,Water,Special,50.0,100,20.0,Lowers opponent's Attack.,
Chilly Reception,Ice,Status,,,10.0,Switches out and summons a snowstorm lasting 5 turns.,
Chip Away,Normal,Physical,70.0,100,20.0,Ignores opponent's stat changes.,
Chloroblast,Grass,Special,150.0,95,5.0,User receives recoil damage.,
Circle Throw,Fighting,Physical,60.0,90,10.0,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Clamp,Water,Physical,35.0,85,15.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Clanging Scales,Dragon,Special,110.0,100,5.0,Lowers user's Defense.,100.0
Clangorous Soul,Dragon,Status,,100,5.0,Raises all user's stats but loses HP.,100.0
Clangorous Soulblaze,Dragon,Special,185.0,,1.0,Kommo-o exclusive Z-Move.,
Clear Smog,Poison,Special,50.0,,15.0,Removes all of the target's stat changes.,
Close Combat,Fighting,Physical,120.0,100,5.0,Lowers user's Defense and Special Defense.,100.0
Coaching,Fighting,Status,,,10.0,Boosts Attack and Defense of a teammate.,
Coil,Poison,Status,,,20.0,"Raises user's Attack, Defense and Accuracy.",
Collision Course,Fighting,Physical,100.0,100,5.0,Boosted even more if it's super-effective.,
Combat Torque,Fighting,Physical,100.0,100,10.0,May paralyze the opponent.,
Comet Punch,Normal,Physical,18.0,85,15.0,Hits 2-5 times in one turn.,
Comeuppance,Dark,Physical,,100,10.0,Deals more damage to the opponent that last inflicted damage on it.,
Confide,Normal,Status,,,20.0,Lowers opponent's Special Attack.,100.0
Confuse Ray,Ghost,Status,,100,10.0,Confuses opponent.,
Confusion,Psychic,Special,50.0,100,25.0,May confuse opponent.,10.0
Constrict,Normal,Physical,10.0,100,35.0,May lower opponent's Speed by one stage.,10.0
Continental Crush,Rock,,,,1.0,Rock type Z-Move.,
Conversion,Normal,Status,,,30.0,Changes user's type to that of its first move.,
Conversion 2,Normal,Status,,,30.0,User changes type to become resistant to opponent's last move.,
Copycat,Normal,Status,,,20.0,Copies opponent's last move.,
Core Enforcer,Dragon,Special,100.0,100,10.0,Suppresses the target's ability if the target has already moved.,
Corkscrew Crash,Steel,,,,1.0,Steel type Z-Move.,
Corrosive Gas,Poison,Status,,100,40.0,Removes opponent's items.,
Cosmic Power,Psychic,Status,,,20.0,Raises user's Defense and Special Defense.,
Cotton Guard,Grass,Status,,,10.0,Drastically raises user's Defense.,
Cotton Spore,Grass,Status,,100,40.0,Sharply lowers opponent's Speed.,
Counter,Fighting,Physical,,100,20.0,"When hit by a Physical Attack, user strikes back with 2x power.",
Court Change,Normal,Status,,100,10.0,Swaps the effects on either side of the field.,
Covet,Normal,Physical,60.0,100,25.0,Opponent's item is stolen by the user.,
Crabhammer,Water,Physical,100.0,90,10.0,High critical hit ratio.,
Crafty Shield,Fairy,Status,,,10.0,Protects the Pokémon from status moves.,
Cross Chop,Fighting,Physical,100.0,80,5.0,High critical hit ratio.,
Cross Poison,Poison,Physical,70.0,100,20.0,High critical hit ratio. May poison opponent.,10.0
Crunch,Dark,Physical,80.0,100,15.0,May lower opponent's Defense.,20.0
Crush Claw,Normal,Physical,75.0,95,10.0,May lower opponent's Defense.,50.0
Crush Grip,Normal,Physical,,100,5.0,More powerful when opponent has higher HP.,
Curse,Ghost,Status,,,10.0,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.",
Cut,Normal,Physical,50.0,95,30.0,,
Dark Pulse,Dark,Special,80.0,100,15.0,May cause flinching.,20.0
Dark Void,Dark,Status,,50,10.0,Puts all adjacent opponents to sleep.,
Darkest Lariat,Dark,Physical,85.0,100,10.0,Ignores opponent's stat changes.,
Dazzling Gleam,Fairy,Special,80.0,100,10.0,Hits all adjacent opponents.,
Decorate,Fairy,Status,,,15.0,Sharply raises target's Attack and Special Attack.,100.0
Defend Order,Bug,Status,,,10.0,Raises user's Defense and Special Defense.,
Defense Curl,Normal,Status,,,40.0,Raises user's Defense.,
Defog,Flying,Status,,,15.0,Lowers opponent's Evasiveness and clears fog.,
Destiny Bond,Ghost,Status,,,5.0,"If the user faints, the opponent also faints.",
Detect,Fighting,Status,,,5.0,"Protects the user, but may fail if used consecutively.",
Devastating Drake,Dragon,,,,1.0,Dragon type Z-Move.,
Diamond Storm,Rock,Physical,100.0,95,5.0,May sharply raise user's Defense.,50.0
Dig,Ground,Physical,80.0,100,10.0,"Digs underground on first turn, attacks on second. Can also escape from caves.",
Dire Claw,Poison,Physical,80.0,100,15.0,"May poison, paralyze or put the opponent to sleep.",
Disable,Normal,Status,,100,20.0,Opponent can't use its last attack for a few turns.,
Disarming Voice,Fairy,Special,40.0,∞,15.0,Ignores Accuracy and Evasiveness.,
Discharge,Electric,Special,80.0,100,15.0,May paralyze opponent.,30.0
Dive,Water,Physical,80.0,100,10.0,"Dives underwater on first turn, attacks on second turn.",
Dizzy Punch,Normal,Physical,70.0,100,10.0,May confuse opponent.,20.0
Doodle,Normal,Status,,100,10.0,Changes the abilities of the user and its teammates to that of the target.,
Doom Desire,Steel,Special,140.0,100,5.0,Damage occurs 2 turns later.,
Double Hit,Normal,Physical,35.0,90,10.0,Hits twice in one turn.,
Double Iron Bash,Steel,Physical,60.0,100,5.0,Hits twice in one turn; may cause flinching.,30.0
Double Kick,Fighting,Physical,30.0,100,30.0,Hits twice in one turn.,
Double Shock,Electric,Physical,120.0,100,5.0,"After using this move, the user will no longer be Electric type.",
Double Slap,Normal,Physical,15.0,85,10.0,Hits 2-5 times in one turn.,
Double Team,Normal,Status,,,15.0,Raises user's Evasiveness.,
Double-Edge,Normal,Physical,120.0,100,15.0,User receives recoil damage.,
Draco Meteor,Dragon,Special,130.0,90,5.0,Sharply lowers user's Special Attack.,100.0
Dragon Ascent,Flying,Physical,120.0,100,5.0,Lowers user's Defense and Special Defense.,100.0
Dragon Breath,Dragon,Special,60.0,100,20.0,May paralyze opponent.,30.0
Dragon Cheer,Dragon,Status,,∞,15.0,,
Dragon Claw,Dragon,Physical,80.0,100,15.0,,
Dragon Dance,Dragon,Status,,,20.0,Raises user's Attack and Speed.,
Dragon Darts,Dragon,Physical,50.0,100,10.0,User attacks twice.,
Dragon Energy,Dragon,Special,150.0,100,5.0,"The higher the user's HP, the higher the power.",
Dragon Hammer,Dragon,Physical,90.0,100,15.0,The user uses its body like a hammer to attack the target and inflict damage.,
Dragon Pulse,Dragon,Special,85.0,100,10.0,,
Dragon Rage,Dragon,Special,,100,10.0,Always inflicts 40 HP.,
Dragon Rush,Dragon,Physical,100.0,75,10.0,May cause flinching.,20.0
Dragon Tail,Dragon,Physical,60.0,90,10.0,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Drain Punch,Fighting,Physical,75.0,100,10.0,User recovers half the HP inflicted on opponent.,
Draining Kiss,Fairy,Special,50.0,100,10.0,User recovers most the HP inflicted on opponent.,
Dream Eater,Psychic,Special,100.0,100,15.0,User recovers half the HP inflicted on a sleeping opponent.,
Drill Peck,Flying,Physical,80.0,100,20.0,,
Drill Run,Ground,Physical,80.0,95,10.0,High critical hit ratio.,
Drum Beating,Grass,Physical,80.0,100,10.0,Lowers opponent's Speed.,100.0
Dual Chop,Dragon,Physical,40.0,90,15.0,Hits twice in one turn.,
Dual Wingbeat,Flying,Physical,40.0,90,10.0,The user slams the target with its wings. The target is hit twice in a row.,
Dynamax Cannon,Dragon,Special,100.0,100,5.0,Damage doubles if opponent is Dynamaxed.,
Dynamic Punch,Fighting,Physical,100.0,50,5.0,Confuses opponent.,100.0
Earth Power,Ground,Special,90.0,100,10.0,May lower opponent's Special Defense.,10.0
Earthquake,Ground,Physical,100.0,100,10.0,Power is doubled if opponent is underground from using Dig.,
Echoed Voice,Normal,Special,40.0,100,15.0,Power increases each turn.,
Eerie Impulse,Electric,Status,,100,15.0,Sharply lowers opponent's Special Attack.,
Eerie Spell,Psychic,Special,80.0,100,5.0,Deals damage and reduces opponent's PP.,
Egg Bomb,Normal,Physical,100.0,75,10.0,,
Electric Terrain,Electric,Status,,,10.0,Prevents all Pokémon from falling asleep for 5 turns.,
Electrify,Electric,Status,,,20.0,Changes the target's move to Electric type.,
Electro Ball,Electric,Special,,100,10.0,"The faster the user, the stronger the attack.",
Electro Drift,Electric,Special,100.0,100,5.0,Boosted even more if it's super-effective.,
Electro Shot,Electric,Special,130.0,100,10.0,"Charges on first turn, attacks on second.",
Electroweb,Electric,Special,55.0,95,15.0,Lowers opponent's Speed.,100.0
Embargo,Dark,Status,,100,15.0,Opponent cannot use items.,
Ember,Fire,Special,40.0,100,25.0,May burn opponent.,10.0
Encore,Normal,Status,,100,5.0,Forces opponent to keep using its last move for 3 turns.,
Endeavor,Normal,Physical,,100,5.0,Reduces opponent's HP to same as user's.,
Endure,Normal,Status,,,10.0,"Always left with at least 1 HP, but may fail if used consecutively.",
Energy Ball,Grass,Special,90.0,100,10.0,May lower opponent's Special Defense.,10.0
Entrainment,Normal,Status,,100,15.0,Makes target's ability same as user's.,
Eruption,Fire,Special,150.0,100,5.0,Stronger when the user's HP is higher.,
Esper Wing,Psychic,Special,80.0,100,10.0,High critical hit ratio. Raises user's Speed.,
Eternabeam,Dragon,Special,160.0,90,5.0,User can't move on the next turn.,
Expanding Force,Psychic,Special,80.0,100,10.0,Increases power and hits all opponents on Psychic Terrain.,
Explosion,Normal,Physical,250.0,100,5.0,User faints.,
Extrasensory,Psychic,Special,80.0,100,20.0,May cause flinching.,10.0
Extreme Evoboost,Normal,Status,,,1.0,Eevee-exclusive Z-Move. Sharply raises all stats.,100.0
Extreme Speed,Normal,Physical,80.0,100,5.0,User attacks first.,
Facade,Normal,Physical,70.0,100,20.0,"Power doubles if user is burned, poisoned, or paralyzed.",
Fairy Lock,Fairy,Status,,,10.0,Prevents fleeing in the next turn.,
Fairy Wind,Fairy,Special,40.0,100,30.0,,
Fake Out,Normal,Physical,40.0,100,10.0,"User attacks first, foe flinches. Only usable on first turn.",100.0
Fake Tears,Dark,Status,,100,20.0,Sharply lowers opponent's Special Defense.,
False Surrender,Dark,Physical,80.0,∞,10.0,Ignores Accuracy and Evasiveness.,
False Swipe,Normal,Physical,40.0,100,40.0,Always leaves opponent with at least 1 HP.,
Feather Dance,Flying,Status,,100,15.0,Sharply lowers opponent's Attack.,
Feint,Normal,Physical,30.0,100,10.0,Only hits if opponent uses Protect or Detect in the same turn.,
Feint Attack,Dark,Physical,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Fell Stinger,Bug,Physical,50.0,100,25.0,Drastically raises user's Attack if target is KO'd.,
Fickle Beam,Dragon,Special,80.0,100,5.0,May deal double damage.,
Fiery Dance,Fire,Special,80.0,100,10.0,May raise user's Special Attack.,50.0
Fiery Wrath,Dark,Special,90.0,100,10.0,May cause flinching.,20.0
Fillet Away,Normal,Status,,,10.0,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.",
Final Gambit,Fighting,Special,,100,5.0,Inflicts damage equal to the user's remaining HP. User faints.,
Fire Blast,Fire,Special,110.0,85,5.0,May burn opponent.,10.0
Fire Fang,Fire,Physical,65.0,95,15.0,May cause flinching and/or burn opponent.,10.0
Fire Lash,Fire,Physical,80.0,100,15.0,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,100.0
Fire Pledge,Fire,Special,80.0,100,10.0,Added effects appear if combined with Grass Pledge or Water Pledge.,
Fire Punch,Fire,Physical,75.0,100,15.0,May burn opponent.,10.0
Fire Spin,Fire,Special,35.0,85,15.0,"Traps opponent, damaging them for 4-5 turns.",100.0
First Impression,Bug,Physical,90.0,100,10.0,"Although this move has great power, it only works the first turn the user is in battle.",
Fishious Rend,Water,Physical,85.0,100,10.0,"If the user attacks before the target, the power of this move is doubled.",
Fissure,Ground,Physical,,30,5.0,"One-Hit-KO, if it hits.",
Flail,Normal,Physical,,100,15.0,"The lower the user's HP, the higher the power.",
Flame Burst,Fire,Special,70.0,100,15.0,May also injure nearby Pokémon.,
Flame Charge,Fire,Physical,50.0,100,20.0,Raises user's Speed.,100.0
Flame Wheel,Fire,Physical,60.0,100,25.0,May burn opponent.,10.0
Flamethrower,Fire,Special,90.0,100,15.0,May burn opponent.,10.0
Flare Blitz,Fire,Physical,120.0,100,15.0,User receives recoil damage. May burn opponent.,10.0
Flash,Normal,Status,,100,20.0,Lowers opponent's Accuracy.,
Flash Cannon,Steel,Special,80.0,100,10.0,May lower opponent's Special Defense.,10.0
Flatter,Dark,Status,,100,15.0,"Confuses opponent, but raises its Special Attack.",
Fleur Cannon,Fairy,Special,130.0,90,5.0,Sharply lowers user's Special Attack.,100.0
Fling,Dark,Physical,,100,10.0,Power depends on held item.,
Flip Turn,Water,Physical,60.0,100,20.0,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",
Floaty Fall,Flying,Physical,90.0,95,15.0,May cause flinching.,30.0
Floral Healing,Fairy,Status,,,10.0,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,
Flower Shield,Fairy,Status,,,10.0,Sharply raises Defense of all Grass-type Pokémon on the field.,100.0
Flower Trick,Grass,Physical,70.0,∞,10.0,Never misses; always results in a critical hit.,
Fly,Flying,Physical,90.0,95,15.0,"Flies up on first turn, attacks on second turn.",
Flying Press,Fighting,Physical,100.0,95,10.0,Deals Fighting and Flying type damage.,
Focus Blast,Fighting,Special,120.0,70,5.0,May lower opponent's Special Defense.,10.0
Focus Energy,Normal,Status,,,30.0,Increases critical hit ratio.,
Focus Punch,Fighting,Physical,150.0,100,20.0,"If the user is hit before attacking, it flinches instead.",
Follow Me,Normal,Status,,,20.0,"In Double Battle, the user takes all the attacks.",
Force Palm,Fighting,Physical,60.0,100,10.0,May paralyze opponent.,30.0
Foresight,Normal,Status,,,40.0,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",
Forest's Curse,Grass,Status,,100,20.0,Adds Grass type to opponent.,
Foul Play,Dark,Physical,95.0,100,15.0,Uses the opponent's Attack stat.,
Freeze Shock,Ice,Physical,140.0,90,5.0,"Charges on first turn, attacks on second. May paralyze opponent.",30.0
Freeze-Dry,Ice,Special,70.0,100,20.0,May freeze opponent. Super-effective against Water types.,10.0
Freezing Glare,Psychic,Special,90.0,100,10.0,May freeze opponent.,10.0
Freezy Frost,Ice,Special,90.0,100,15.0,Resets all stat changes.,
Frenzy Plant,Grass,Special,150.0,90,5.0,User must recharge next turn.,
Frost Breath,Ice,Special,60.0,90,10.0,Always results in a critical hit.,100.0
Frustration,Normal,Physical,,100,20.0,Power decreases with higher Friendship.,
Fury Attack,Normal,Physical,15.0,85,20.0,Hits 2-5 times in one turn.,
Fury Cutter,Bug,Physical,40.0,95,20.0,Power increases each turn.,
Fury Swipes,Normal,Physical,18.0,80,15.0,Hits 2-5 times in one turn.,
Fusion Bolt,Electric,Physical,100.0,100,5.0,Power increases if Fusion Flare is used in the same turn.,
Fusion Flare,Fire,Special,100.0,100,5.0,Power increases if Fusion Bolt is used in the same turn.,
Future Sight,Psychic,Special,120.0,100,10.0,Damage occurs 2 turns later.,
G-Max Befuddle,Bug,,,∞,5.0,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",100.0
G-Max Cannonade,Water,,,∞,10.0,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,
G-Max Centiferno,Fire,,,∞,5.0,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,100.0
G-Max Chi Strike,Fighting,,,∞,5.0,Machamp-exclusive G-Max Move. Increases critical hit ratio.,
G-Max Cuddle,Normal,,,∞,5.0,Eevee-exclusive G-Max Move. Infatuates opponents.,100.0
G-Max Depletion,Dragon,,,∞,5.0,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,
G-Max Drum Solo,Grass,,160.0,∞,5.0,Rillaboom-exclusive G-Max Move. Ignores target's ability.,
G-Max Finale,Fairy,,,∞,5.0,Alcremie-exclusive G-Max Move. Heals the user's team.,
G-Max Fireball,Fire,,160.0,∞,5.0,Cinderace-exclusive G-Max Move. Ignores target's ability.,
G-Max Foam Burst,Water,,,∞,5.0,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,100.0
G-Max Gold Rush,Normal,,,∞,5.0,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,100.0
