Move Name,Type,Category,Power,Accuracy,PP,Effect,Probability (%)
G-Max Gravitas,Psychic,,,∞,5.0,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,
G-Max Hydrosnipe,Water,,160.0,∞,5.0,Inteleon-exclusive G-Max Move. Ignores target's ability.,
G-Max Malodor,Poison,,,∞,5.0,Garbodor-exclusive G-Max Move. Poisons opponents.,100.0
G-Max Meltdown,Steel,,,∞,5.0,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,
G-Max One Blow,Dark,,,∞,5.0,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,
G-Max Rapid Flow,Water,,,∞,5.0,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,
G-Max Replenish,Normal,,,∞,5.0,Snorlax-exclusive G-Max Move. Recycles Berries.,
G-Max Resonance,Ice,,,∞,5.0,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,
G-Max Sandblast,Ground,,,∞,5.0,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,100.0
G-Max Smite,Fairy,,,∞,5.0,Hatterene-exclusive G-Max Move. Confuses opponents.,100.0
G-Max Snooze,Dark,,,∞,5.0,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,
G-Max Steelsurge,Steel,,,∞,5.0,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,
G-Max Stonesurge,Water,,,∞,5.0,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,
G-Max Stun Shock,Electric,,,∞,10.0,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,100.0
G-Max Sweetness,Grass,,,∞,10.0,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,
G-Max Tartness,Grass,,,∞,10.0,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,100.0
G-Max Terror,Ghost,,,∞,10.0,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,
G-Max Vine Lash,Grass,,,∞,10.0,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,
G-Max Volcalith,Rock,,,∞,10.0,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,100.0
G-Max Volt Crash,Electric,,,∞,10.0,Pikachu-exclusive G-Max Move. Paralyzes opponents.,100.0
G-Max Wildfire,Fire,,,∞,10.0,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100.0
G-Max Wind Rage,Flying,,,∞,10.0,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,
Gastro Acid,Poison,Status,,100,10.0,Cancels out the effect of the opponent's Ability.,
Gear Grind,Steel,Physical,50.0,85,15.0,Hits twice in one turn.,
Gear Up,Steel,Status,,,20.0,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,
Genesis Supernova,Psychic,Special,185.0,,1.0,Mew-exclusive Z-Move.,
Geomancy,Fairy,Status,,,10.0,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",
Giga Drain,Grass,Special,75.0,100,10.0,User recovers half the HP inflicted on opponent.,
Giga Impact,Normal,Physical,150.0,90,5.0,User must recharge next turn.,
Gigaton Hammer,Steel,Physical,160.0,100,5.0,Cannot be used twice in a row.,
Gigavolt Havoc,Electric,,,,1.0,Electric type Z-Move.,
Glacial Lance,Ice,Physical,120.0,100,5.0,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,
Glaciate,Ice,Special,65.0,95,10.0,Lowers opponent's Speed.,100.0
Glaive Rush,Dragon,Physical,120.0,100,5.0,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,
Glare,Normal,Status,,100,30.0,Paralyzes opponent.,
Glitzy Glow,Psychic,Special,90.0,100,15.0,Reduces damage from Special attacks.,
Grass Knot,Grass,Special,,100,20.0,"The heavier the opponent, the stronger the attack.",
Grass Pledge,Grass,Special,80.0,100,10.0,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,
Grass Whistle,Grass,Status,,55,15.0,Puts opponent to sleep.,
Grassy Glide,Grass,Physical,55.0,100,20.0,High priority during Grassy Terrain.,
Grassy Terrain,Grass,Status,,,10.0,Restores a little HP of all Pokémon for 5 turns.,
Grav Apple,Grass,Physical,80.0,100,10.0,Lowers the opponent's Defense stat.,100.0
Gravity,Psychic,Status,,,5.0,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,
Growl,Normal,Status,,100,40.0,Lowers opponent's Attack.,
Growth,Normal,Status,,,20.0,Raises user's Attack and Special Attack.,
Grudge,Ghost,Status,,,5.0,"If the users faints after using this move, the PP for the opponent's last move is depleted.",
Guard Split,Psychic,Status,,,10.0,Averages Defense and Special Defense with the target.,
Guard Swap,Psychic,Status,,,10.0,User and opponent swap Defense and Special Defense.,
Guardian of Alola,Fairy,Special,,,1.0,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,
Guillotine,Normal,Physical,,30,5.0,"One-Hit-KO, if it hits.",
Gunk Shot,Poison,Physical,120.0,80,5.0,May poison opponent.,30.0
Gust,Flying,Special,40.0,100,35.0,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,
Gyro Ball,Steel,Physical,,100,5.0,"The slower the user, the stronger the attack.",
Hail,Ice,Status,,,10.0,Non-Ice types are damaged for 5 turns.,
Hammer Arm,Fighting,Physical,100.0,90,10.0,Lowers user's Speed.,100.0
Happy Hour,Normal,Status,,,30.0,Doubles prize money from trainer battles.,
Hard Press,Steel,Physical,,100,10.0,,
Harden,Normal,Status,,,30.0,Raises user's Defense.,
Haze,Ice,Status,,,30.0,Resets all stat changes.,
Head Charge,Normal,Physical,120.0,100,15.0,User receives recoil damage.,
Head Smash,Rock,Physical,150.0,80,5.0,User receives recoil damage.,
Headbutt,Normal,Physical,70.0,100,15.0,May cause flinching.,30.0
Headlong Rush,Ground,Physical,120.0,100,5.0,Lowers user's Defense.,
Heal Bell,Normal,Status,,,5.0,Heals the user's party's status conditions.,
Heal Block,Psychic,Status,,100,15.0,Prevents the opponent from restoring HP for 5 turns.,
Heal Order,Bug,Status,,,10.0,User recovers half its max HP.,
Heal Pulse,Psychic,Status,,,10.0,Restores half the target's max HP.,
Healing Wish,Psychic,Status,,,10.0,The user faints and the next Pokémon released is fully healed.,
Heart Stamp,Psychic,Physical,60.0,100,25.0,May cause flinching.,30.0
Heart Swap,Psychic,Status,,,10.0,Stat changes are swapped with the opponent.,
Heat Crash,Fire,Physical,,100,10.0,"The heavier the user, the stronger the attack.",
Heat Wave,Fire,Special,95.0,90,10.0,May burn opponent.,10.0
Heavy Slam,Steel,Physical,,100,10.0,"The heavier the user, the stronger the attack.",
Helping Hand,Normal,Status,,,20.0,"In Double Battles, boosts the power of the partner's move.",
Hex,Ghost,Special,65.0,100,10.0,Inflicts more damage if the target has a status condition.,
Hidden Power,Normal,Special,60.0,100,15.0,Type and power depends on user's IVs.,
High Horsepower,Ground,Physical,95.0,95,10.0,The user fiercely attacks the target using its entire body.,
High Jump Kick,Fighting,Physical,130.0,90,10.0,"If it misses, the user loses half their HP.",
Hold Back,Normal,Physical,40.0,100,40.0,Always leaves opponent with at least 1 HP.,
Hold Hands,Normal,Status,,,40.0,Makes the user and an ally very happy.,
Hone Claws,Dark,Status,,,15.0,Raises user's Attack and Accuracy.,
Horn Attack,Normal,Physical,65.0,100,25.0,,
Horn Drill,Normal,Physical,,30,5.0,"One-Hit-KO, if it hits.",
Horn Leech,Grass,Physical,75.0,100,10.0,User recovers half the HP inflicted on opponent.,
Howl,Normal,Status,,,40.0,Raises Attack of allies.,
Hurricane,Flying,Special,110.0,70,10.0,May confuse opponent.,30.0
Hydro Cannon,Water,Special,150.0,90,5.0,User must recharge next turn.,
Hydro Pump,Water,Special,110.0,80,5.0,,
Hydro Steam,Water,Special,80.0,100,15.0,Power increases in harsh sunlight.,
Hydro Vortex,Water,,,,1.0,Water type Z-Move.,
Hyper Beam,Normal,Special,150.0,90,5.0,User must recharge next turn.,
Hyper Drill,Normal,Physical,100.0,100,5.0,Can strike through Protect/Detect.,
Hyper Fang,Normal,Physical,80.0,90,15.0,May cause flinching.,10.0
Hyper Voice,Normal,Special,90.0,100,10.0,,
Hyperspace Fury,Dark,Physical,100.0,∞,5.0,Lowers user's Defense. Can strike through Protect/Detect.,100.0
Hyperspace Hole,Psychic,Special,80.0,∞,5.0,Can strike through Protect/Detect.,
Hypnosis,Psychic,Status,,60,20.0,Puts opponent to sleep.,
Ice Ball,Ice,Physical,30.0,90,20.0,Doubles in power each turn for 5 turns.,
Ice Beam,Ice,Special,90.0,100,10.0,May freeze opponent.,10.0
Ice Burn,Ice,Special,140.0,90,5.0,"Charges on first turn, attacks on second. May burn opponent.",30.0
Ice Fang,Ice,Physical,65.0,95,15.0,May cause flinching and/or freeze opponent.,10.0
Ice Hammer,Ice,Physical,100.0,90,10.0,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100.0
Ice Punch,Ice,Physical,75.0,100,15.0,May freeze opponent.,10.0
Ice Shard,Ice,Physical,40.0,100,30.0,User attacks first.,
Ice Spinner,Ice,Physical,80.0,100,15.0,Removes effects of Terrain.,
Icicle Crash,Ice,Physical,85.0,90,10.0,May cause flinching.,30.0
Icicle Spear,Ice,Physical,25.0,100,30.0,Hits 2-5 times in one turn.,
Icy Wind,Ice,Special,55.0,95,15.0,Lowers opponent's Speed.,100.0
Imprison,Psychic,Status,,,10.0,Opponent is unable to use moves that the user also knows.,
Incinerate,Fire,Special,60.0,100,15.0,Destroys the target's held berry.,
Infernal Parade,Ghost,Special,60.0,100,15.0,Inflicts double damage if the target has a status condition.,
Inferno,Fire,Special,100.0,50,5.0,Burns opponent.,100.0
Inferno Overdrive,Fire,,,,1.0,Fire type Z-Move.,
Infestation,Bug,Special,20.0,100,20.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Ingrain,Grass,Status,,,20.0,User restores HP each turn. User cannot escape/switch.,
Instruct,Psychic,Status,,,15.0,Allows an ally to use a move instead.,
Ion Deluge,Electric,Status,,,25.0,Changes Normal-type moves to Electric-type.,
Iron Defense,Steel,Status,,,15.0,Sharply raises user's Defense.,
Iron Head,Steel,Physical,80.0,100,15.0,May cause flinching.,30.0
Iron Tail,Steel,Physical,100.0,75,15.0,May lower opponent's Defense.,30.0
Ivy Cudgel,Grass,Physical,100.0,,,High critical hit ratio. Type changes based on form.,
Jaw Lock,Dark,Physical,80.0,100,10.0,Prevents user and opponent from switching out.,
Jet Punch,Water,Physical,60.0,100,15.0,Always goes first.,
Judgment,Normal,Special,100.0,100,10.0,Type depends on the Arceus Plate being held.,
Jump Kick,Fighting,Physical,100.0,95,10.0,"If it misses, the user loses half their HP.",
Jungle Healing,Grass,Status,,,10.0,Restores team's HP and cures status conditions.,
Karate Chop,Fighting,Physical,50.0,100,25.0,High critical hit ratio.,
Kinesis,Psychic,Status,,80,15.0,Lowers opponent's Accuracy.,
King's Shield,Steel,Status,,,10.0,Protects the user and lowers opponent's Attack on contact.,
Knock Off,Dark,Physical,65.0,100,20.0,Removes opponent's held item for the rest of the battle.,
Kowtow Cleave,Dark,Physical,85.0,∞,10.0,Always hits.,
Land's Wrath,Ground,Physical,90.0,100,10.0,,
Laser Focus,Normal,Status,,,30.0,User's next attack is guaranteed to result in a critical hit.,
Lash Out,Dark,Physical,75.0,100,5.0,Double power if stats were lowered during the turn.,
Last Resort,Normal,Physical,140.0,100,5.0,Can only be used after all other moves are used.,
Last Respects,Ghost,Physical,50.0,100,10.0,Damages increases the more party Pokémon have been defeated.,
Lava Plume,Fire,Special,80.0,100,15.0,May burn opponent.,30.0
Leaf Blade,Grass,Physical,90.0,100,15.0,High critical hit ratio.,
Leaf Storm,Grass,Special,130.0,90,5.0,Sharply lowers user's Special Attack.,100.0
Leaf Tornado,Grass,Special,65.0,90,10.0,May lower opponent's Accuracy.,50.0
Leafage,Grass,Physical,40.0,100,40.0,Strikes opponent with leaves.,
Leech Life,Bug,Physical,80.0,100,10.0,User recovers half the HP inflicted on opponent.,
Leech Seed,Grass,Status,,90,10.0,Drains HP from opponent each turn.,
Leer,Normal,Status,,100,30.0,Lowers opponent's Defense.,100.0
Let's Snuggle Forever,Fairy,Physical,190.0,,1.0,Mimikyu-exclusive Z-Move.,
Lick,Ghost,Physical,30.0,100,30.0,May paralyze opponent.,30.0
Life Dew,Water,Status,,,10.0,User and teammates recover HP.,
Light of Ruin,Fairy,Special,140.0,90,5.0,User receives recoil damage.,
Light Screen,Psychic,Status,,,30.0,Halves damage from Special attacks for 5 turns.,
Light That Burns the Sky,Psychic,Special,200.0,,1.0,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,
Liquidation,Water,Physical,85.0,100,10.0,May lower opponent's Defense.,20.0
Lock-On,Normal,Status,,,5.0,User's next attack is guaranteed to hit.,
Lovely Kiss,Normal,Status,,75,10.0,Puts opponent to sleep.,
Low Kick,Fighting,Physical,,100,20.0,"The heavier the opponent, the stronger the attack.",
Low Sweep,Fighting,Physical,65.0,100,20.0,Lowers opponent's Speed.,100.0
Lucky Chant,Normal,Status,,,30.0,Opponent cannot land critical hits for 5 turns.,
Lumina Crash,Psychic,Special,80.0,100,10.0,Harshly lowers target’s Special Defense.,
Lunar Blessing,Psychic,Status,,,5.0,Heals user's status conditions and recovers HP.,
Lunar Dance,Psychic,Status,,,10.0,The user faints but the next Pokémon released is fully healed.,
Lunge,Bug,Physical,80.0,100,15.0,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100.0
Luster Purge,Psychic,Special,95.0,100,5.0,May lower opponent's Special Defense.,50.0
Mach Punch,Fighting,Physical,40.0,100,30.0,User attacks first.,
Magic Coat,Psychic,Status,,,15.0,Reflects moves that cause status conditions back to the attacker.,
Magic Powder,Psychic,Status,,100,20.0,Changes target's type to Psychic.,
Magic Room,Psychic,Status,,,10.0,Suppresses the effects of held items for five turns.,
Magical Leaf,Grass,Special,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Magical Torque,Fairy,Physical,100.0,100,10.0,May confuse the opponent.,
Magma Storm,Fire,Special,100.0,75,5.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Magnet Bomb,Steel,Physical,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Magnet Rise,Electric,Status,,,10.0,User becomes immune to Ground-type moves for 5 turns.,
Magnetic Flux,Electric,Status,,,20.0,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,
Magnitude,Ground,Physical,,100,30.0,Hits with random power.,
Make It Rain,Steel,Special,120.0,100,5.0,Lowers user's Special Attack. Money is earned after the battle.,
Malicious Moonsault,Dark,Physical,180.0,,1.0,Incineroar-exclusive Z-Move.,
Malignant Chain,Poison,Special,100.0,100,5.0,May poison the opponent.,
Mat Block,Fighting,Status,,,10.0,Protects teammates from damaging moves.,
Matcha Gotcha,Grass,Special,80.0,90,15.0,"Deals damage, restores HP, may burn opponent.",20.0
Max Airstream,Flying,,,,,Flying type Dynamax move. Raises the team's Speed.,100.0
Max Darkness,Dark,,,,,Dark type Dynamax move. Lowers the target's Special Defense.,100.0
Max Flare,Fire,,,,,Fire type Dynamax move. Summons harsh sunlight.,
Max Flutterby,Bug,,,,,Bug type Dynamax move. Lowers the target's Special Attack.,100.0
Max Geyser,Water,,,,,Water type Dynamax move. Summons heavy rain.,
Max Guard,Normal,,,,,Status category Dynamax move. Protects the user.,
Max Hailstorm,Ice,,,,,Ice type Dynamax move. Summons hail.,
Max Knuckle,Fighting,,,,,Fighting type Dynamax move. Increases the team's Attack.,100.0
Max Lightning,Electric,,,,,Electric type Dynamax move. Summons Electric Terrain.,
Max Mindstorm,Psychic,,,,,Psychic type Dynamax move. Summons Psychic Terrain.,
Max Ooze,Poison,,,,,Poison type Dynamax move. Increases the team's Special Attack.,100.0
Max Overgrowth,Grass,,,,,Grass type Dynamax move. Summons Grassy Terrain.,
Max Phantasm,Ghost,,,,,Ghost type Dynamax move. Lowers the target's Defense.,100.0
Max Quake,Ground,,,,,Ground type Dynamax move. Increases the team's Special Defense.,100.0
Max Rockfall,Rock,,,,,Rock type Dynamax move. Summons a sandstorm.,
Max Starfall,Fairy,,,,,Fairy type Dynamax move. Summons Misty Terrain.,
Max Steelspike,Steel,,,,,Steel type Dynamax move. Raises the team's Defense.,100.0
Max Strike,Normal,,,,,Normal type Dynamax move. Lowers the target's Speed.,100.0
Max Wyrmwind,Dragon,,,,,Dragon type Dynamax move. Lowers the target's Attack.,100.0
Me First,Normal,Status,,,20.0,User copies the opponent's attack with 1.5× power.,
Mean Look,Normal,Status,,,5.0,Opponent cannot flee or switch.,
Meditate,Psychic,Status,,,40.0,Raises user's Attack.,
Mega Drain,Grass,Special,40.0,100,15.0,User recovers half the HP inflicted on opponent.,
Mega Kick,Normal,Physical,120.0,75,5.0,,
Mega Punch,Normal,Physical,80.0,85,20.0,,
Megahorn,Bug,Physical,120.0,85,10.0,,
Memento,Dark,Status,,100,10.0,"User faints, sharply lowers opponent's Attack and Special Attack.",
Menacing Moonraze Maelstrom,Ghost,Special,200.0,,1.0,Lunala-exclusive Z-Move.,
Metal Burst,Steel,Physical,,100,10.0,Deals damage equal to 1.5x opponent's attack.,
Metal Claw,Steel,Physical,50.0,95,35.0,May raise user's Attack.,10.0
Metal Sound,Steel,Status,,85,40.0,Sharply lowers opponent's Special Defense.,
Meteor Assault,Fighting,Physical,150.0,100,5.0,User must recharge next turn.,
Meteor Beam,Rock,Special,120.0,90,10.0,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",
Meteor Mash,Steel,Physical,90.0,90,10.0,May raise user's Attack.,20.0
Metronome,Normal,Status,,,10.0,User performs almost any move in the game at random.,
Mighty Cleave,Rock,Physical,95.0,100,5.0,,
Milk Drink,Normal,Status,,,5.0,User recovers half its max HP.,
Mimic,Normal,Status,,,10.0,Copies the opponent's last move.,
Mind Blown,Fire,Special,150.0,100,5.0,User receives recoil damage.,
Mind Reader,Normal,Status,,,5.0,User's next attack is guaranteed to hit.,
Minimize,Normal,Status,,,10.0,Sharply raises user's Evasiveness.,
Miracle Eye,Psychic,Status,,,40.0,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",
Mirror Coat,Psychic,Special,,100,20.0,"When hit by a Special Attack, user strikes back with 2x power.",
Mirror Move,Flying,Status,,,20.0,User performs the opponent's last move.,
Mirror Shot,Steel,Special,65.0,85,10.0,May lower opponent's Accuracy.,30.0
Mist,Ice,Status,,,30.0,User's stats cannot be changed for a period of time.,
Mist Ball,Psychic,Special,95.0,100,5.0,May lower opponent's Special Attack.,50.0
Misty Explosion,Fairy,Special,100.0,100,5.0,Power increases on Misty Terrain.,
Misty Terrain,Fairy,Status,,,10.0,Protects the field from status conditions for 5 turns.,
Moonblast,Fairy,Special,95.0,100,15.0,May lower opponent's Special Attack.,30.0
Moongeist Beam,Ghost,Special,100.0,100,5.0,Ignores the target's ability.,
Moonlight,Fairy,Status,,,5.0,User recovers HP. Amount varies with the weather.,
Morning Sun,Normal,Status,,,5.0,User recovers HP. Amount varies with the weather.,
Mortal Spin,Poison,Physical,30.0,100,15.0,"Removes entry hazards and trap move effects, and poisons opposing Pokémon.",
Mountain Gale,Ice,Physical,100.0,85,10.0,Lowers user's Speed.,
Mud Bomb,Ground,Special,65.0,85,10.0,May lower opponent's Accuracy.,30.0
Mud Shot,Ground,Special,55.0,95,15.0,Lowers opponent's Speed.,100.0
Mud Sport,Ground,Status,,,15.0,Weakens the power of Electric-type moves.,
Mud-Slap,Ground,Special,20.0,100,10.0,Lowers opponent's Accuracy.,100.0
Muddy Water,Water,Special,90.0,85,10.0,May lower opponent's Accuracy.,30.0
Multi-Attack,Normal,Physical,120.0,100,10.0,Type matches Memory item held.,
Mystical Fire,Fire,Special,75.0,100,10.0,Lowers opponent's Special Attack.,100.0
Mystical Power,Psychic,Special,70.0,90,10.0,Raises user's Special Attack.,
Nasty Plot,Dark,Status,,,20.0,Sharply raises user's Special Attack.,
Natural Gift,Normal,Physical,,100,15.0,Power and type depend on the user's held berry.,
Nature Power,Normal,Status,,,20.0,Uses a certain move based on the current terrain.,
Nature's Madness,Fairy,Special,,90,10.0,Halves the foe's HP.,
Needle Arm,Grass,Physical,60.0,100,15.0,May cause flinching.,30.0
Never-Ending Nightmare,Ghost,,,,1.0,Ghost type Z-Move.,
Night Daze,Dark,Special,85.0,95,10.0,May lower opponent's Accuracy.,40.0
Night Shade,Ghost,Special,,100,15.0,Inflicts damage equal to user's level.,
Night Slash,Dark,Physical,70.0,100,15.0,High critical hit ratio.,
Nightmare,Ghost,Status,,100,15.0,The sleeping opponent loses 25% of its max HP each turn.,
No Retreat,Fighting,Status,,,5.0,Raises all stats but user cannot switch out.,100.0
Noble Roar,Normal,Status,,100,30.0,Lowers opponent's Attack and Special Attack.,100.0
Noxious Torque,Poison,Physical,100.0,100,10.0,May poison the opponent.,
Nuzzle,Electric,Physical,20.0,100,20.0,Paralyzes opponent.,100.0
Oblivion Wing,Flying,Special,80.0,100,10.0,User recovers most of the HP inflicted on opponent.,
Obstruct,Dark,Status,,100,10.0,Protects the user and sharply lowers Defence on contact.,
Oceanic Operetta,Water,Special,195.0,,1.0,Primarina-exclusive Z-Move.,
Octazooka,Water,Special,65.0,85,10.0,May lower opponent's Accuracy.,50.0
Octolock,Fighting,Status,,100,15.0,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",
Odor Sleuth,Normal,Status,,,40.0,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.",
Ominous Wind,Ghost,Special,60.0,100,5.0,May raise all user's stats at once.,10.0
Order Up,Dragon,Physical,80.0,100,10.0,Boosts Attack/Defense/Speed depending on ally Tatsugiri.,
Origin Pulse,Water,Special,110.0,85,10.0,Hits all adjacent opponents.,
Outrage,Dragon,Physical,120.0,100,10.0,User attacks for 2-3 turns but then becomes confused.,
Overdrive,Electric,Special,80.0,100,10.0,Hits all adjacent opponents.,
Overheat,Fire,Special,130.0,90,5.0,Sharply lowers user's Special Attack.,100.0
Pain Split,Normal,Status,,,20.0,The user's and opponent's HP becomes the average of both.,
Parabolic Charge,Electric,Special,65.0,100,20.0,User recovers half the HP inflicted on opponent.,
Parting Shot,Dark,Status,,100,20.0,Lowers opponent's Attack and Special Attack then switches out.,100.0
Pay Day,Normal,Physical,40.0,100,20.0,Money is earned after the battle.,
Payback,Dark,Physical,50.0,100,10.0,Power doubles if the user was attacked first.,
Peck,Flying,Physical,35.0,100,35.0,,
Perish Song,Normal,Status,,,5.0,Any Pokémon in play when this attack is used faints in 3 turns.,
Petal Blizzard,Grass,Physical,90.0,100,15.0,Hits all adjacent Pokémon.,
Petal Dance,Grass,Special,120.0,100,10.0,User attacks for 2-3 turns but then becomes confused.,
Phantom Force,Ghost,Physical,90.0,100,10.0,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
Photon Geyser,Psychic,Special,100.0,100,5.0,"Uses Attack or Special Attack stat, whichever is higher.",
Pika Papow,Electric,Special,,∞,20.0,Power increases when player's bond is stronger.,
Pin Missile,Bug,Physical,25.0,95,20.0,Hits 2-5 times in one turn.,
Plasma Fists,Electric,Physical,100.0,100,15.0,Changes Normal-type moves to Electric-type moves.,
Play Nice,Normal,Status,,,20.0,Lowers opponent's Attack. Always hits.,100.0
Play Rough,Fairy,Physical,90.0,90,10.0,May lower opponent's Attack.,10.0
Pluck,Flying,Physical,60.0,100,20.0,"If the opponent is holding a berry, its effect is stolen by user.",
Poison Fang,Poison,Physical,50.0,100,15.0,May badly poison opponent.,50.0
Poison Gas,Poison,Status,,90,40.0,Poisons opponent.,
Poison Jab,Poison,Physical,80.0,100,20.0,May poison the opponent.,30.0
Poison Powder,Poison,Status,,75,35.0,Poisons opponent.,
Poison Sting,Poison,Physical,15.0,100,35.0,May poison the opponent.,30.0
Poison Tail,Poison,Physical,50.0,100,25.0,High critical hit ratio. May poison opponent.,10.0
Pollen Puff,Bug,Special,90.0,100,15.0,Deals damage to opponent or restores HP of teammate.,
Poltergeist,Ghost,Physical,110.0,90,5.0,Fails if the target doesn’t have an item.,
Population Bomb,Normal,Physical,20.0,90,10.0,Hits 1-10 times in a row.,
Pounce,Bug,Physical,50.0,100,20.0,Lowers opponent's Speed.,100.0
Pound,Normal,Physical,40.0,100,35.0,,
Powder,Bug,Status,,100,20.0,Damages Pokémon using Fire type moves.,
Powder Snow,Ice,Special,40.0,100,25.0,May freeze opponent.,10.0
Power Gem,Rock,Special,80.0,100,20.0,,
Power Shift,Normal,Status,,,10.0,Switches Attack and Defense stats.,
Power Split,Psychic,Status,,,10.0,Averages Attack and Special Attack with the target.,
Power Swap,Psychic,Status,,,10.0,User and opponent swap Attack and Special Attack.,
Power Trick,Psychic,Status,,,10.0,User's own Attack and Defense switch.,
Power Trip,Dark,Physical,20.0,100,10.0,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",
Power Whip,Grass,Physical,120.0,85,10.0,,
Power-Up Punch,Fighting,Physical,40.0,100,20.0,Raises Attack.,100.0
Precipice Blades,Ground,Physical,120.0,85,10.0,Hits all adjacent opponents.,
Present,Normal,Physical,,90,15.0,Either deals damage or heals.,
Prismatic Laser,Psychic,Special,160.0,100,10.0,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,
Protect,Normal,Status,,,10.0,"Protects the user, but may fail if used consecutively.",
Psybeam,Psychic,Special,65.0,100,20.0,May confuse opponent.,10.0
Psyblade,Psychic,Physical,80.0,100,15.0,Power increases on Electric Terrain.,
Psych Up,Normal,Status,,,10.0,Copies the opponent's stat changes.,
