Move Name,Type,Category,Power,Accuracy,PP,Effect,Probability (%)
Psychic,Psychic,Special,90.0,100,10.0,May lower opponent's Special Defense.,10.0
Psychic Fangs,Psychic,Physical,85.0,100,10.0,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,
Psychic Noise,Psychic,Special,75.0,100,10.0,Deals damage and prevents target from healing.,
Psychic Terrain,Psychic,Status,,,10.0,Prevents priority moves from being used for 5 turns.,
Psycho Boost,Psychic,Special,140.0,90,5.0,Sharply lowers user's Special Attack.,100.0
Psycho Cut,Psychic,Physical,70.0,100,20.0,High critical hit ratio.,
Psycho Shift,Psychic,Status,,100,10.0,Transfers user's status condition to the opponent.,
Psyshield Bash,Psychic,Physical,70.0,90,10.0,Raises user's Defense and Special Defense.,
Psyshock,Psychic,Special,80.0,100,10.0,"Inflicts damage based on the target's Defense, not Special Defense.",
Psystrike,Psychic,Special,100.0,100,10.0,"Inflicts damage based on the target's Defense, not Special Defense.",
Psywave,Psychic,Special,,100,15.0,Inflicts damage 50-150% of user's level.,
Pulverizing Pancake,Normal,Physical,210.0,,1.0,Snorlax-exclusive Normal type Z-Move.,
Punishment,Dark,Physical,,100,5.0,Power increases when opponent's stats have been raised.,
Purify,Poison,Status,,,20.0,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",
Pursuit,Dark,Physical,40.0,100,20.0,Double power if the opponent is switching out.,
Pyro Ball,Fire,Physical,120.0,90,5.0,May burn opponent.,10.0
Quash,Dark,Status,,100,15.0,Makes the target act last this turn.,
Quick Attack,Normal,Physical,40.0,100,30.0,User attacks first.,
Quick Guard,Fighting,Status,,,15.0,Protects the user's team from high-priority moves.,
Quiver Dance,Bug,Status,,,20.0,"Raises user's Special Attack, Special Defense and Speed.",
Rage,Normal,Physical,20.0,100,20.0,Raises user's Attack when hit.,
Rage Fist,Ghost,Physical,50.0,100,10.0,"The more times the user has been hit by attacks, the greater the move's power.",
Rage Powder,Bug,Status,,,20.0,"Forces attacks to hit user, not team-mates.",
Raging Bull,Normal,Physical,90.0,100,10.0,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.,
Raging Fury,Fire,Physical,120.0,100,10.0,User attacks for 2-3 turns but then becomes confused.,
Rain Dance,Water,Status,,,5.0,Makes it rain for 5 turns.,
Rapid Spin,Normal,Physical,50.0,100,40.0,Raises user's Speed and removes entry hazards and trap move effects.,100.0
Razor Leaf,Grass,Physical,55.0,95,25.0,High critical hit ratio.,
Razor Shell,Water,Physical,75.0,95,10.0,May lower opponent's Defense.,50.0
Razor Wind,Normal,Special,80.0,100,10.0,"Charges on first turn, attacks on second. High critical hit ratio.",
Recover,Normal,Status,,,5.0,User recovers half its max HP.,
Recycle,Normal,Status,,,10.0,User's used hold item is restored.,
Reflect,Psychic,Status,,,20.0,Halves damage from Physical attacks for 5 turns.,
Reflect Type,Normal,Status,,,15.0,User becomes the target's type.,
Refresh,Normal,Status,,,20.0,"Cures paralysis, poison, and burns.",
Relic Song,Normal,Special,75.0,100,10.0,May put the target to sleep.,10.0
Rest,Psychic,Status,,,5.0,"User sleeps for 2 turns, but user is fully healed.",
Retaliate,Normal,Physical,70.0,100,5.0,Inflicts double damage if a teammate fainted on the last turn.,
Return,Normal,Physical,,100,20.0,Power increases with higher Friendship.,
Revelation Dance,Normal,Special,90.0,100,15.0,Type changes based on Oricorio's form.,
Revenge,Fighting,Physical,60.0,100,10.0,Power increases if user was hit first.,
Reversal,Fighting,Physical,,100,15.0,"The lower the user's HP, the higher the power.",
Revival Blessing,Normal,Status,,,1.0,Revives a fainted party Pokémon to half HP.,
Rising Voltage,Electric,Special,70.0,100,20.0,Power doubles on Electric Terrain.,
Roar,Normal,Status,,,20.0,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Roar of Time,Dragon,Special,150.0,90,5.0,User must recharge next turn.,
Rock Blast,Rock,Physical,25.0,90,10.0,Hits 2-5 times in one turn.,
Rock Climb,Normal,Physical,90.0,85,20.0,May confuse opponent.,20.0
Rock Polish,Rock,Status,,,20.0,Sharply raises user's Speed.,
Rock Slide,Rock,Physical,75.0,90,10.0,May cause flinching.,30.0
Rock Smash,Fighting,Physical,40.0,100,15.0,May lower opponent's Defense.,50.0
Rock Throw,Rock,Physical,50.0,90,15.0,,
Rock Tomb,Rock,Physical,60.0,95,15.0,Lowers opponent's Speed.,100.0
Rock Wrecker,Rock,Physical,150.0,90,5.0,User must recharge next turn.,
Role Play,Psychic,Status,,,10.0,User copies the opponent's Ability.,
Rolling Kick,Fighting,Physical,60.0,85,15.0,May cause flinching.,30.0
Rollout,Rock,Physical,30.0,90,20.0,Doubles in power each turn for 5 turns.,
Roost,Flying,Status,,,5.0,User recovers half of its max HP and loses the Flying type temporarily.,
Rototiller,Ground,Status,,,10.0,Raises Attack and Special Attack of Grass-types.,100.0
Round,Normal,Special,60.0,100,15.0,Power increases if teammates use it in the same turn.,
Ruination,Dark,Special,,90,10.0,Halves the opponent's HP.,
Sacred Fire,Fire,Physical,100.0,95,5.0,May burn opponent.,50.0
Sacred Sword,Fighting,Physical,90.0,100,15.0,Ignores opponent's stat changes.,
Safeguard,Normal,Status,,,25.0,The user's party is protected from status conditions.,
Salt Cure,Rock,Physical,40.0,100,15.0,Deals damage each turn; Steel and Water types are more affected.,
Sand Attack,Ground,Status,,100,15.0,Lowers opponent's Accuracy.,
Sand Tomb,Ground,Physical,35.0,85,15.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Sandsear Storm,Ground,Special,100.0,80,10.0,May burn target.,
Sandstorm,Rock,Status,,,10.0,Creates a sandstorm for 5 turns.,
Sappy Seed,Grass,Physical,90.0,100,15.0,Drains HP from opponent each turn.,100.0
Savage Spin-Out,Bug,,,,1.0,Bug type Z-Move.,
Scald,Water,Special,80.0,100,15.0,May burn opponent.,30.0
Scale Shot,Dragon,Physical,25.0,90,20.0,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,
Scary Face,Normal,Status,,100,10.0,Sharply lowers opponent's Speed.,
Scorching Sands,Ground,Special,70.0,100,10.0,May burn the target.,
Scratch,Normal,Physical,40.0,100,35.0,,
Screech,Normal,Status,,85,40.0,Sharply lowers opponent's Defense.,
Searing Shot,Fire,Special,100.0,100,5.0,May burn opponent.,30.0
Searing Sunraze Smash,Steel,Physical,200.0,,1.0,Solgaleo-exclusive Z-Move.,
Secret Power,Normal,Physical,70.0,100,20.0,Effects of the attack vary with the location.,30.0
Secret Sword,Fighting,Special,85.0,100,10.0,"Inflicts damage based on the target's Defense, not Special Defense.",
Seed Bomb,Grass,Physical,80.0,100,15.0,,
Seed Flare,Grass,Special,120.0,85,5.0,May lower opponent's Special Defense.,40.0
Seismic Toss,Fighting,Physical,,100,20.0,Inflicts damage equal to user's level.,
Self-Destruct,Normal,Physical,200.0,100,5.0,User faints.,
Shadow Ball,Ghost,Special,80.0,100,15.0,May lower opponent's Special Defense.,20.0
Shadow Bone,Ghost,Physical,85.0,100,10.0,May lower opponent's Defense.,20.0
Shadow Claw,Ghost,Physical,70.0,100,15.0,High critical hit ratio.,
Shadow Force,Ghost,Physical,120.0,100,5.0,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",
Shadow Punch,Ghost,Physical,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Shadow Sneak,Ghost,Physical,40.0,100,30.0,User attacks first.,
Sharpen,Normal,Status,,,30.0,Raises user's Attack.,
Shattered Psyche,Psychic,,,,1.0,Psychic type Z-Move.,
Shed Tail,Normal,Status,,,10.0,"Creates a substitute, then swaps places with a party Pokémon in waiting.",
Sheer Cold,Ice,Special,,30,5.0,"One-Hit-KO, if it hits.",
Shell Side Arm,Poison,Special,90.0,100,10.0,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",
Shell Smash,Normal,Status,,,15.0,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",
Shell Trap,Fire,Special,150.0,100,5.0,Deals more damage to opponent if hit by a Physical move.,
Shelter,Steel,Status,,,10.0,Raises user's Defense.,
Shift Gear,Steel,Status,,,10.0,Raises user's Attack and sharply raises Speed.,
Shock Wave,Electric,Special,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Shore Up,Ground,Status,,,5.0,The user regains up to half of its max HP. It restores more HP in a sandstorm.,
Signal Beam,Bug,Special,75.0,100,15.0,May confuse opponent.,10.0
Silk Trap,Bug,Status,,,10.0,Protects the user and lowers opponent's Speed on contact.,
Silver Wind,Bug,Special,60.0,100,5.0,May raise all stats of user at once.,10.0
Simple Beam,Normal,Status,,100,15.0,Changes target's ability to Simple.,
Sing,Normal,Status,,55,15.0,Puts opponent to sleep.,
Sinister Arrow Raid,Ghost,Physical,180.0,,1.0,Decidueye-exclusive Z-Move.,
Sizzly Slide,Fire,Physical,90.0,100,15.0,Burns the opponent.,100.0
Sketch,Normal,Status,,,1.0,Permanently copies the opponent's last move.,
Skill Swap,Psychic,Status,,,10.0,The user swaps Abilities with the opponent.,
Skitter Smack,Bug,Physical,70.0,90,10.0,Lowers opponent's Sp. Attack.,
Skull Bash,Normal,Physical,130.0,100,10.0,"Raises Defense on first turn, attacks on second.",100.0
Sky Attack,Flying,Physical,140.0,90,5.0,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30.0
Sky Drop,Flying,Physical,60.0,100,10.0,"Takes opponent into the air on first turn, drops them on second turn.",
Sky Uppercut,Fighting,Physical,85.0,90,15.0,"Hits the opponent, even during Fly.",
Slack Off,Normal,Status,,,5.0,User recovers half its max HP.,
Slam,Normal,Physical,80.0,75,20.0,,
Slash,Normal,Physical,70.0,100,20.0,High critical hit ratio.,
Sleep Powder,Grass,Status,,75,15.0,Puts opponent to sleep.,
Sleep Talk,Normal,Status,,,10.0,User performs one of its own moves while sleeping.,
Sludge,Poison,Special,65.0,100,20.0,May poison opponent.,30.0
Sludge Bomb,Poison,Special,90.0,100,10.0,May poison opponent.,30.0
Sludge Wave,Poison,Special,95.0,100,10.0,May poison opponent.,10.0
Smack Down,Rock,Physical,50.0,100,15.0,Makes Flying-type Pokémon vulnerable to Ground moves.,100.0
Smart Strike,Steel,Physical,70.0,,10.0,The user stabs the target with a sharp horn. This attack never misses.,
Smelling Salts,Normal,Physical,70.0,100,10.0,"Power doubles if opponent is paralyzed, but cures it.",
Smog,Poison,Special,30.0,70,20.0,May poison opponent.,40.0
Smokescreen,Normal,Status,,100,20.0,Lowers opponent's Accuracy.,
Snap Trap,Grass,Physical,35.0,100,15.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Snarl,Dark,Special,55.0,95,15.0,Lowers opponent's Special Attack.,100.0
Snatch,Dark,Status,,,10.0,Steals the effects of the opponent's next move.,
Snipe Shot,Water,Special,80.0,100,15.0,Ignores moves and abilities that draw in moves. High critical hit ratio.,
Snore,Normal,Special,50.0,100,15.0,Can only be used if asleep. May cause flinching.,30.0
Snowscape,Ice,Status,,,10.0,Raises Defense of Ice types for 5 turns.,
Soak,Water,Status,,100,20.0,Changes the target's type to water.,
Soft-Boiled,Normal,Status,,,5.0,User recovers half its max HP.,
Solar Beam,Grass,Special,120.0,100,10.0,"Charges on first turn, attacks on second.",
Solar Blade,Grass,Physical,125.0,100,10.0,"Charges on first turn, attacks on second.",
Sonic Boom,Normal,Special,,90,20.0,Always inflicts 20 HP.,
Soul-Stealing 7-Star Strike,Ghost,Physical,195.0,,1.0,Marshadow-exclusive Z-Move.,
Spacial Rend,Dragon,Special,100.0,95,5.0,High critical hit ratio.,
Spark,Electric,Physical,65.0,100,20.0,May paralyze opponent.,30.0
Sparkling Aria,Water,Special,90.0,100,10.0,Heals the burns of its target.,
Sparkly Swirl,Fairy,Special,90.0,100,15.0,Cures all status problems in the party Pokémon.,
Spectral Thief,Ghost,Physical,90.0,100,10.0,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",
Speed Swap,Psychic,Status,,,10.0,The user exchanges Speed stats with the target.,
Spicy Extract,Grass,Status,,∞,15.0,Harshly lowers the opponent's Defense and sharply raises their Attack.,
Spider Web,Bug,Status,,,10.0,Opponent cannot escape/switch.,
Spike Cannon,Normal,Physical,20.0,100,15.0,Hits 2-5 times in one turn.,
Spikes,Ground,Status,,,20.0,Damages opponents switching into battle.,
Spiky Shield,Grass,Status,,,10.0,Protects the user and inflicts damage on contact.,
Spin Out,Steel,Physical,100.0,100,5.0,Harshly lowers user’s Speed.,
Spirit Break,Fairy,Physical,75.0,100,15.0,Lowers opponent's Special Attack.,100.0
Spirit Shackle,Ghost,Physical,80.0,100,10.0,Prevents the opponent from switching out.,
Spit Up,Normal,Special,,100,10.0,Power depends on how many times the user performed Stockpile.,
Spite,Ghost,Status,,100,10.0,The opponent's last move loses 2-5 PP.,
Splash,Normal,Status,,,40.0,Doesn't do ANYTHING.,
Splintered Stormshards,Rock,Physical,190.0,,1.0,Lycanroc-exclusive Z-Move.,
Splishy Splash,Water,Special,90.0,100,15.0,May paralyze opponent.,30.0
Spore,Grass,Status,,100,15.0,Puts opponent to sleep.,
Spotlight,Normal,Status,,,15.0,The user shines a spotlight on the target so that only the target will be attacked during the turn.,
Springtide Storm,Fairy,Special,100.0,80,5.0,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",
Stealth Rock,Rock,Status,,,20.0,Damages opponents switching into battle.,
Steam Eruption,Water,Special,110.0,95,5.0,May burn opponent.,30.0
Steamroller,Bug,Physical,65.0,100,20.0,May cause flinching.,30.0
Steel Beam,Steel,Special,140.0,95,5.0,User loses 50% of its HP.,
Steel Roller,Steel,Physical,130.0,100,5.0,Fails if no Terrain in effect.,
Steel Wing,Steel,Physical,70.0,90,25.0,May raise user's Defense.,10.0
Sticky Web,Bug,Status,,,20.0,Lowers opponent's Speed when switching into battle.,
Stockpile,Normal,Status,,,20.0,Stores energy for use with Spit Up and Swallow.,
Stoked Sparksurfer,Electric,Special,175.0,,1.0,Alolan Raichu-exclusive Electric type Z-Move.,100.0
Stomp,Normal,Physical,65.0,100,20.0,May cause flinching.,30.0
Stomping Tantrum,Ground,Physical,75.0,100,10.0,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.",
Stone Axe,Rock,Physical,65.0,90,15.0,Sets up Stealth Rock.,
Stone Edge,Rock,Physical,100.0,80,5.0,High critical hit ratio.,
Stored Power,Psychic,Special,20.0,100,10.0,Power increases when user's stats have been raised.,
Storm Throw,Fighting,Physical,60.0,100,10.0,Always results in a critical hit.,100.0
Strange Steam,Fairy,Special,90.0,95,10.0,May confuse opponent.,20.0
Strength,Normal,Physical,80.0,100,15.0,,
Strength Sap,Grass,Status,,100,10.0,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.,100.0
String Shot,Bug,Status,,95,40.0,Sharply lowers opponent's Speed.,
Struggle,Normal,Physical,50.0,,,Only usable when all PP are gone. Hurts the user.,
Struggle Bug,Bug,Special,50.0,100,20.0,Lowers opponent's Special Attack.,100.0
Stuff Cheeks,Normal,Status,,,10.0,"The user eats its held Berry, then sharply raises its Defense stat.",100.0
Stun Spore,Grass,Status,,75,30.0,Paralyzes opponent.,
Submission,Fighting,Physical,80.0,80,20.0,User receives recoil damage.,
Substitute,Normal,Status,,,10.0,Uses HP to creates a decoy that takes hits.,
Subzero Slammer,Ice,,,,1.0,Ice type Z-Move.,
Sucker Punch,Dark,Physical,70.0,100,5.0,"User attacks first, but only works if opponent is readying an attack.",
Sunny Day,Fire,Status,,,5.0,Makes it sunny for 5 turns.,
Sunsteel Strike,Steel,Physical,100.0,100,5.0,Ignores the target's ability.,
Super Fang,Normal,Physical,,90,10.0,Always takes off half of the opponent's HP.,
Supercell Slam,Electric,Physical,100.0,95,15.0,,
Superpower,Fighting,Physical,120.0,100,5.0,Lowers user's Attack and Defense.,100.0
Supersonic,Normal,Status,,55,20.0,Confuses opponent.,
Supersonic Skystrike,Flying,,,,1.0,Flying type Z-Move.,
Surf,Water,Special,90.0,100,15.0,Hits all adjacent Pokémon.,
Surging Strikes,Water,Physical,25.0,100,5.0,Always results in a critical hit and ignores stat changes.,
Swagger,Normal,Status,,85,15.0,"Confuses opponent, but sharply raises its Attack.",
Swallow,Normal,Status,,,10.0,"The more times the user has performed Stockpile, the more HP is recovered.",
Sweet Kiss,Fairy,Status,,75,10.0,Confuses opponent.,
Sweet Scent,Normal,Status,,100,20.0,Lowers opponent's Evasiveness.,
Swift,Normal,Special,60.0,∞,20.0,Ignores Accuracy and Evasiveness.,
Switcheroo,Dark,Status,,100,10.0,Swaps held items with the opponent.,
Swords Dance,Normal,Status,,,20.0,Sharply raises user's Attack.,
Synchronoise,Psychic,Special,120.0,100,10.0,Hits any Pokémon that shares a type with the user.,
Synthesis,Grass,Status,,,5.0,User recovers HP. Amount varies with the weather.,
Syrup Bomb,Grass,Special,60.0,85,10.0,Lowers opponent's Speed each turn for 3 turns.,
Tachyon Cutter,Steel,Special,50.0,∞,10.0,Guaranteed to hit twice in a row.,
Tackle,Normal,Physical,40.0,100,35.0,,
Tail Glow,Bug,Status,,,20.0,Drastically raises user's Special Attack.,
Tail Slap,Normal,Physical,25.0,85,10.0,Hits 2-5 times in one turn.,
Tail Whip,Normal,Status,,100,30.0,Lowers opponent's Defense.,
Tailwind,Flying,Status,,,15.0,Doubles Speed for 4 turns.,
Take Down,Normal,Physical,90.0,85,20.0,User receives recoil damage.,
Take Heart,Psychic,Status,,,10.0,Heals user's status conditions and raises its stats.,
Tar Shot,Rock,Status,,100,15.0,Lowers the opponent's Speed and makes them weaker to Fire-type moves.,100.0
Taunt,Dark,Status,,100,20.0,Opponent can only use moves that attack.,
Tearful Look,Normal,Status,,,20.0,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.,100.0
Teatime,Normal,Status,,,10.0,Forces all Pokémon on the field to eat their berries.,
Techno Blast,Normal,Special,120.0,100,5.0,Type depends on the Drive being held.,
Tectonic Rage,Ground,,,,1.0,Ground type Z-Move.,
Teeter Dance,Normal,Status,,100,20.0,Confuses all Pokémon.,
Telekinesis,Psychic,Status,,,15.0,"Ignores opponent's Evasiveness for three turns, add Ground immunity.",
Teleport,Psychic,Status,,,20.0,Allows user to flee wild battles; also warps player to last PokéCenter.,
Temper Flare,Fire,Physical,75.0,100,10.0,,
Tera Blast,Normal,Special,80.0,100,10.0,Changes type when the user has Terastallized.,
Tera Starstorm,Normal,Special,120.0,100,5.0,,
Terrain Pulse,Normal,Special,50.0,100,10.0,Type and power change depending on the Terrain in effect.,
Thief,Dark,Physical,60.0,100,25.0,Also steals opponent's held item.,
Thousand Arrows,Ground,Physical,90.0,100,10.0,Makes Flying-type Pokémon vulnerable to Ground moves.,
Thousand Waves,Ground,Physical,90.0,100,10.0,Opponent cannot flee or switch.,
Thrash,Normal,Physical,120.0,100,10.0,User attacks for 2-3 turns but then becomes confused.,
Throat Chop,Dark,Physical,80.0,100,15.0,Prevents use of sound moves for two turns.,100.0
Thunder,Electric,Special,110.0,70,10.0,May paralyze opponent.,30.0
Thunder Cage,Electric,Special,80.0,90,15.0,"Deals damage and traps opponent, damaging them for 4-5 turns.",
Thunder Fang,Electric,Physical,65.0,95,15.0,May cause flinching and/or paralyze opponent.,10.0
Thunder Punch,Electric,Physical,75.0,100,15.0,May paralyze opponent.,10.0
Thunder Shock,Electric,Special,40.0,100,30.0,May paralyze opponent.,10.0
Thunder Wave,Electric,Status,,90,20.0,Paralyzes opponent.,
Thunderbolt,Electric,Special,90.0,100,15.0,May paralyze opponent.,10.0
Thunderclap,Electric,Special,70.0,100,5.0,Strikes before a target's move.,
Thunderous Kick,Fighting,Physical,90.0,100,10.0,Lowers opponent's Defense.,100.0
Tickle,Normal,Status,,100,20.0,Lowers opponent's Attack and Defense.,
Tidy Up,Normal,Status,,,10.0,"Removes the effects of entry hazards and Substitute, and boosts user’s Attack and Speed.",
Topsy-Turvy,Dark,Status,,,20.0,Reverses stat changes of opponent.,
Torch Song,Fire,Special,80.0,100,10.0,Raises user's Special Attack.,
Torment,Dark,Status,,100,15.0,Opponent cannot use the same move in a row.,
Toxic,Poison,Status,,90,10.0,Badly poisons opponent.,
Toxic Spikes,Poison,Status,,,20.0,Poisons opponents switching into battle.,
Toxic Thread,Poison,Status,,100,20.0,Poisons opponent and lowers its Speed.,100.0
Trailblaze,Grass,Physical,50.0,100,20.0,Raises user's Speed.,
Transform,Normal,Status,,,10.0,User takes on the form and attacks of the opponent.,
Tri Attack,Normal,Special,80.0,100,10.0,"May paralyze, burn or freeze opponent.",20.0
Trick,Psychic,Status,,100,10.0,Swaps held items with the opponent.,
Trick Room,Psychic,Status,,,5.0,Slower Pokémon move first in the turn for 5 turns.,
Trick-or-Treat,Ghost,Status,,100,20.0,Adds Ghost type to opponent.,
Triple Arrows,Fighting,Physical,90.0,100,10.0,High critical hit ratio. May lower opponent's Defense or cause them to flinch.,
Triple Axel,Ice,Physical,20.0,90,10.0,Attacks thrice with more power each time.,
Triple Dive,Water,Physical,30.0,95,10.0,Hits 3 times in a row.,
Triple Kick,Fighting,Physical,10.0,90,10.0,Hits thrice in one turn at increasing power.,
Trop Kick,Grass,Physical,70.0,100,15.0,Lowers opponent's Attack.,100.0
Trump Card,Normal,Special,,∞,5.0,"The lower the PP, the higher the power.",
Twin Beam,Psychic,Special,40.0,100,10.0,Hits twice in one turn.,
Twineedle,Bug,Physical,25.0,100,20.0,Hits twice in one turn. May poison opponent.,20.0
Twinkle Tackle,Fairy,,,,1.0,Fairy type Z-Move.,
Twister,Dragon,Special,40.0,100,20.0,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20.0
U-turn,Bug,Physical,70.0,100,20.0,User switches out immediately after attacking.,
Upper Hand,Fighting,Physical,65.0,100,15.0,Strikes before a target's priority move.,
Uproar,Normal,Special,90.0,100,10.0,User attacks for 3 turns and prevents sleep.,
V-create,Fire,Physical,180.0,95,5.0,"Lowers user's Defense, Special Defense and Speed.",100.0
Vacuum Wave,Fighting,Special,40.0,100,30.0,User attacks first.,
Veevee Volley,Normal,Physical,,∞,20.0,Power increases when player's bond is stronger.,
Venom Drench,Poison,Status,,100,20.0,Lowers poisoned opponent's Special Attack and Speed.,100.0
Venoshock,Poison,Special,65.0,100,10.0,Inflicts double damage if the target is poisoned.,
Victory Dance,Fighting,Status,,,10.0,Raises Attack and Defense.,
Vine Whip,Grass,Physical,45.0,100,25.0,,
Vise Grip,Normal,Physical,55.0,100,30.0,,
Vital Throw,Fighting,Physical,70.0,∞,10.0,"User attacks last, but ignores Accuracy and Evasiveness.",
Volt Switch,Electric,Special,70.0,100,20.0,User must switch out after attacking.,
Volt Tackle,Electric,Physical,120.0,100,15.0,User receives recoil damage. May paralyze opponent.,10.0
Wake-Up Slap,Fighting,Physical,70.0,100,10.0,"Power doubles if opponent is asleep, but wakes it up.",
Water Gun,Water,Special,40.0,100,25.0,,
Water Pledge,Water,Special,80.0,100,10.0,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,
Water Pulse,Water,Special,60.0,100,20.0,May confuse opponent.,20.0
Water Shuriken,Water,Special,15.0,100,20.0,Hits 2-5 times in one turn.,
Water Sport,Water,Status,,,15.0,Weakens the power of Fire-type moves.,
Water Spout,Water,Special,150.0,100,5.0,"The higher the user's HP, the higher the damage caused.",
Waterfall,Water,Physical,80.0,100,15.0,May cause flinching.,20.0
Wave Crash,Water,Physical,120.0,100,10.0,User receives recoil damage.,
Weather Ball,Normal,Special,50.0,100,10.0,Move's power and type changes with the weather.,
Whirlpool,Water,Special,35.0,85,15.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Whirlwind,Normal,Status,,,20.0,"In battles, the opponent switches. In the wild, the Pokémon runs.",
Wicked Blow,Dark,Physical,75.0,100,5.0,Always results in a critical hit and ignores stat changes.,
Wicked Torque,Dark,Physical,80.0,100,10.0,May put opponent to sleep.,
Wide Guard,Rock,Status,,,10.0,Protects the user's team from multi-target attacks.,
Wild Charge,Electric,Physical,90.0,100,15.0,User receives recoil damage.,
Wildbolt Storm,Electric,Special,100.0,80,10.0,May paralyze target.,
Will-O-Wisp,Fire,Status,,85,15.0,Burns opponent.,
Wing Attack,Flying,Physical,60.0,100,35.0,,
Wish,Normal,Status,,,10.0,The user recovers HP in the following turn.,
Withdraw,Water,Status,,,40.0,Raises user's Defense.,
Wonder Room,Psychic,Status,,,10.0,Swaps every Pokémon's Defense and Special Defense for 5 turns.,
Wood Hammer,Grass,Physical,120.0,100,15.0,User receives recoil damage.,
Work Up,Normal,Status,,,30.0,Raises user's Attack and Special Attack.,
Worry Seed,Grass,Status,,100,10.0,Changes the opponent's Ability to Insomnia.,
Wrap,Normal,Physical,15.0,90,20.0,"Traps opponent, damaging them for 4-5 turns.",100.0
Wring Out,Normal,Special,,100,5.0,"The higher the opponent's HP, the higher the damage.",
X-Scissor,Bug,Physical,80.0,100,15.0,,
Yawn,Normal,Status,,,10.0,Puts opponent to sleep in the next turn.,
Zap Cannon,Electric,Special,120.0,50,5.0,Paralyzes opponent.,100.0
Zen Headbutt,Psychic,Physical,80.0,90,15.0,May cause flinching.,20.0
Zing Zap,Electric,Physical,80.0,100,10.0,May cause flinching.,30.0
Zippy Zap,Electric,Physical,50.0,100,15.0,Always results in a critical hit.,100.0
